variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_24	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_252	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_28	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_389	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_390	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
ccmD	0.975	0.5589999999999999	0.7020000000000001	0.10300000000000001	0.26899999999999996	0.0353	bad-chisq	0.9833333333333333	0.016666666666666666	0.033333333333333326	0.9666666666666667	59	1	58	2
ccmE	0.975	0.5589999999999999	0.7020000000000001	0.10300000000000001	0.26899999999999996	0.0353	bad-chisq	0.9833333333333333	0.016666666666666666	0.033333333333333326	0.9666666666666667	59	1	58	2
group_48	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
ccmF_2	0.975	0.5589999999999999	0.9940000000000001	0.00232	0.29	0.000734	bad-chisq	0.9833333333333333	0.016666666666666666	0.033333333333333326	0.9666666666666667	59	1	58	2
group_6025	0.975	0.0794	0.315	0.245	0.243	0.0926	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_727	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
finO	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_729	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_730	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_731	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
noc	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
parA	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_735	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_736	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
mkaC	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
sopE	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_876	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_878	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_879	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_880	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_916	0.975	0.0794	0.57	0.177	0.31	0.0524	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
group_976	0.975	0.5589999999999999	0.904	0.0269	0.221	0.0112	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
umuC_2	0.975	0.0794	0.483	-0.153	0.217	0.0647	bad-chisq	0.95	0.05	0.0	1.0	57	3	60	0
group_251	0.9670000000000001	0.0419	0.614	0.10300000000000001	0.204	0.0465	bad-chisq	1.0	0.0	0.06666666666666665	0.9333333333333333	60	0	56	4
group_388	0.9670000000000001	0.309	0.762	-0.0554	0.183	0.0279	bad-chisq	0.95	0.05	0.01666666666666672	0.9833333333333333	57	3	59	1
group_518	0.9670000000000001	0.0419	0.611	0.111	0.218	0.0469	bad-chisq	1.0	0.0	0.06666666666666665	0.9333333333333333	60	0	56	4
group_519	0.9670000000000001	0.0419	0.586	0.11800000000000001	0.215	0.0502	bad-chisq	1.0	0.0	0.06666666666666665	0.9333333333333333	60	0	56	4
group_762	0.9670000000000001	0.0419	0.7959999999999999	-0.0575	0.222	0.0238	bad-chisq	0.9333333333333333	0.06666666666666667	0.0	1.0	56	4	60	0
group_877	0.9670000000000001	0.0419	0.611	0.111	0.218	0.0469	bad-chisq	1.0	0.0	0.06666666666666665	0.9333333333333333	60	0	56	4
traM	0.958	0.648	0.332	0.17800000000000002	0.183	0.0894	bad-chisq	0.9666666666666667	0.03333333333333333	0.050000000000000044	0.95	58	2	57	3
group_925	0.958	0.648	0.7290000000000001	-0.0675	0.19399999999999998	0.0319	bad-chisq	0.9666666666666667	0.03333333333333333	0.050000000000000044	0.95	58	2	57	3
group_1060	0.9420000000000001	0.6970000000000001	0.484	-0.126	0.18	0.0645	bad-chisq	0.9333333333333333	0.06666666666666667	0.050000000000000044	0.95	56	4	57	3
group_858	0.9329999999999999	0.0281	0.122	-0.47100000000000003	0.302	0.142	bad-chisq	0.8833333333333333	0.11666666666666667	0.01666666666666672	0.9833333333333333	53	7	59	1
group_865	0.917	0.0475	0.40299999999999997	-0.655	0.78	0.0771		0.8666666666666667	0.13333333333333333	0.033333333333333326	0.9666666666666667	52	8	58	2
mrr	0.9079999999999999	0.752	0.145	-0.36	0.245	0.134		0.9166666666666666	0.08333333333333333	0.09999999999999998	0.9	55	5	54	6
group_1119	0.9079999999999999	0.752	0.145	-0.36	0.245	0.134		0.9166666666666666	0.08333333333333333	0.09999999999999998	0.9	55	5	54	6
group_1134	0.9079999999999999	0.34299999999999997	0.909	-0.016	0.14	0.0106		0.8833333333333333	0.11666666666666667	0.06666666666666665	0.9333333333333333	53	7	56	4
group_239	0.9079999999999999	0.114	0.45799999999999996	-0.535	0.718	0.0684		0.8666666666666667	0.13333333333333333	0.050000000000000044	0.95	52	8	57	3
group_44	0.9079999999999999	0.752	0.145	-0.36	0.245	0.134		0.9166666666666666	0.08333333333333333	0.09999999999999998	0.9	55	5	54	6
group_767	0.9079999999999999	0.752	0.145	-0.36	0.245	0.134		0.9166666666666666	0.08333333333333333	0.09999999999999998	0.9	55	5	54	6
group_1120	0.9	0.5429999999999999	0.151	-0.353	0.244	0.132		0.9166666666666666	0.08333333333333333	0.1166666666666667	0.8833333333333333	55	5	53	7
group_1121	0.9	0.5429999999999999	0.151	-0.353	0.244	0.132		0.9166666666666666	0.08333333333333333	0.1166666666666667	0.8833333333333333	55	5	53	7
intQ	0.883	0.000644	0.401	0.665	0.789	0.0774	bad-chisq	0.9833333333333333	0.016666666666666666	0.21666666666666667	0.7833333333333333	59	1	47	13
group_490	0.883	0.000644	0.401	0.665	0.789	0.0774	bad-chisq	0.9833333333333333	0.016666666666666666	0.21666666666666667	0.7833333333333333	59	1	47	13
group_862	0.883	0.000644	0.401	0.665	0.789	0.0774	bad-chisq	0.9833333333333333	0.016666666666666666	0.21666666666666667	0.7833333333333333	59	1	47	13
yedK	0.883	0.000644	0.401	0.665	0.789	0.0774	bad-chisq	0.9833333333333333	0.016666666666666666	0.21666666666666667	0.7833333333333333	59	1	47	13
group_89	0.875	0.000333	0.424	0.581	0.725	0.0736	bad-chisq	0.9833333333333333	0.016666666666666666	0.23333333333333328	0.7666666666666666	59	1	46	14
group_1088	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
mkaB	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
group_1090	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
spvC	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
group_1092	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
group_1093	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
xerD_1	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
group_1095	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
ccdB_1	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
ccdA	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
group_181	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
group_690	0.858	0.191	0.987	-0.00179	0.106	0.00155		0.9	0.1	0.18333333333333335	0.8166666666666667	54	6	49	11
spvB	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
vsdE	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
group_740	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
pdeL	0.858	0.00398	0.345	0.187	0.198	0.0869		0.95	0.05	0.23333333333333328	0.7666666666666666	57	3	46	14
group_982	0.858	0.0669	0.41	-0.0805	0.0974	0.0759		0.8	0.2	0.08333333333333337	0.9166666666666666	48	12	55	5
group_1096	0.85	0.0106	0.47700000000000004	0.127	0.17800000000000002	0.0656		0.9333333333333333	0.06666666666666667	0.23333333333333328	0.7666666666666666	56	4	46	14
group_4763	0.825	0.0926	0.722	0.0839	0.235	0.0328		0.8833333333333333	0.11666666666666667	0.23333333333333328	0.7666666666666666	53	7	46	14
group_777	0.8079999999999999	0.00257	0.85	-0.0276	0.146	0.0174		0.9166666666666666	0.08333333333333333	0.30000000000000004	0.7	55	5	42	18
recF_2	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_1061	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_265	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
yecS_1	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_489	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
kilR	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_542	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
yecS_2	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
glnQ_1	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_556	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_67	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_861	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_891	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
ydfB	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_893	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_894	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_895	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_897	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
ybcO	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_899	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_900	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_901	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_902	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_903	0.8	0.171	0.9890000000000001	-0.0216	1.59	0.00125		0.85	0.15	0.25	0.75	51	9	45	15
group_1138	0.792	0.261	0.47200000000000003	-0.284	0.39399999999999996	0.0662		0.8333333333333334	0.16666666666666666	0.25	0.75	50	10	45	15
group_49	0.792	0.11599999999999999	0.971	0.0432	1.2	0.0033		0.85	0.15	0.2666666666666667	0.7333333333333334	51	9	44	16
group_849	0.792	0.11599999999999999	0.733	0.19899999999999998	0.5820000000000001	0.0315		0.85	0.15	0.2666666666666667	0.7333333333333334	51	9	44	16
group_888	0.792	0.11599999999999999	0.511	0.355	0.5379999999999999	0.0605		0.85	0.15	0.2666666666666667	0.7333333333333334	51	9	44	16
group_889	0.792	0.11599999999999999	0.971	0.0432	1.2	0.0033		0.85	0.15	0.2666666666666667	0.7333333333333334	51	9	44	16
group_890	0.792	0.11599999999999999	0.971	0.0432	1.2	0.0033		0.85	0.15	0.2666666666666667	0.7333333333333334	51	9	44	16
group_896	0.792	0.11599999999999999	0.971	0.0432	1.2	0.0033		0.85	0.15	0.2666666666666667	0.7333333333333334	51	9	44	16
group_905	0.792	0.11599999999999999	0.971	0.0432	1.2	0.0033		0.85	0.15	0.2666666666666667	0.7333333333333334	51	9	44	16
group_971	0.792	0.11599999999999999	0.971	0.0432	1.2	0.0033		0.85	0.15	0.2666666666666667	0.7333333333333334	51	9	44	16
group_543	0.7829999999999999	0.184	0.18600000000000003	-0.59	0.44299999999999995	0.122		0.8333333333333334	0.16666666666666666	0.2666666666666667	0.7333333333333334	50	10	44	16
group_1064	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
group_1065	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
group_1066	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
traY	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
umuC_1	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
group_1099	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
repB	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
group_1101	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
papB	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
group_1103	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
group_1104	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
faeE	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
group_1106	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
group_1108	0.775	0.126	0.635	0.11199999999999999	0.235	0.0438		0.8333333333333334	0.16666666666666666	0.2833333333333333	0.7166666666666667	50	10	43	17
ail_1	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
umuD	0.775	0.27399999999999997	0.45399999999999996	0.153	0.203	0.069		0.8166666666666667	0.18333333333333332	0.2666666666666667	0.7333333333333334	49	11	44	16
traJ	0.767	0.195	0.452	0.152	0.20199999999999999	0.0693		0.8166666666666667	0.18333333333333332	0.2833333333333333	0.7166666666666667	49	11	43	17
group_1107	0.767	0.38799999999999996	0.687	0.072	0.17800000000000002	0.0372		0.8	0.2	0.2666666666666667	0.7333333333333334	48	12	44	16
group_110	0.758	5.0900000000000004e-05	0.0167	0.273	0.113	0.218		0.9166666666666666	0.08333333333333333	0.4	0.6	55	5	36	24
group_1156	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
smc_2	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_1158	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
gpFI	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_1170	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_1171	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_1183	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_421	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_780	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_781	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_782	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_784	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_785	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_786	0.758	0.00557	0.831	-0.0723	0.33799999999999997	0.0197		0.8666666666666667	0.13333333333333333	0.35	0.65	52	8	39	21
group_1163	0.742	0.00176	0.672	0.33899999999999997	0.799	0.0391		0.8666666666666667	0.13333333333333333	0.3833333333333333	0.6166666666666667	52	8	37	23
group_1169	0.742	0.00176	0.672	0.33899999999999997	0.799	0.0391		0.8666666666666667	0.13333333333333333	0.3833333333333333	0.6166666666666667	52	8	37	23
gabR_1	0.733	0.68	0.289	-0.505	0.474	0.0975		0.7166666666666667	0.2833333333333333	0.25	0.75	43	17	45	15
group_1152	0.6579999999999999	0.0832	0.757	-0.17800000000000002	0.575	0.0285		0.7333333333333333	0.26666666666666666	0.41666666666666663	0.5833333333333333	44	16	35	25
group_986	0.583	0.0641	0.992	-0.0008880000000000001	0.0904	0.0009050000000000001		0.6666666666666666	0.3333333333333333	0.5	0.5	40	20	30	30
group_1147	0.5579999999999999	0.358	0.828	-0.0153	0.07	0.0201		0.5166666666666667	0.48333333333333334	0.4	0.6	31	29	36	24
group_1172	0.5579999999999999	0.000478	0.83	-0.0725	0.337	0.0198		0.7166666666666667	0.2833333333333333	0.6	0.4	43	17	24	36
group_1173	0.5579999999999999	0.000478	0.83	-0.0725	0.337	0.0198		0.7166666666666667	0.2833333333333333	0.6	0.4	43	17	24	36
group_422	0.5579999999999999	0.000478	0.83	-0.0725	0.337	0.0198		0.7166666666666667	0.2833333333333333	0.6	0.4	43	17	24	36
group_783	0.5579999999999999	0.000478	0.83	-0.0725	0.337	0.0198		0.7166666666666667	0.2833333333333333	0.6	0.4	43	17	24	36
hin_2	0.542	0.00011899999999999999	0.6829999999999999	0.32	0.782	0.0377		0.7166666666666667	0.2833333333333333	0.6333333333333333	0.3666666666666667	43	17	22	38
group_1161	0.542	0.00011899999999999999	0.6829999999999999	0.32	0.782	0.0377		0.7166666666666667	0.2833333333333333	0.6333333333333333	0.3666666666666667	43	17	22	38
group_1162	0.542	0.00011899999999999999	0.6829999999999999	0.32	0.782	0.0377		0.7166666666666667	0.2833333333333333	0.6333333333333333	0.3666666666666667	43	17	22	38
group_1164	0.542	0.00011899999999999999	0.6829999999999999	0.32	0.782	0.0377		0.7166666666666667	0.2833333333333333	0.6333333333333333	0.3666666666666667	43	17	22	38
group_1166	0.542	0.00011899999999999999	0.6829999999999999	0.32	0.782	0.0377		0.7166666666666667	0.2833333333333333	0.6333333333333333	0.3666666666666667	43	17	22	38
group_1167	0.542	0.00011899999999999999	0.6829999999999999	0.32	0.782	0.0377		0.7166666666666667	0.2833333333333333	0.6333333333333333	0.3666666666666667	43	17	22	38
group_1168	0.542	0.00011899999999999999	0.6829999999999999	0.32	0.782	0.0377		0.7166666666666667	0.2833333333333333	0.6333333333333333	0.3666666666666667	43	17	22	38
